Place,Movie_Name,Year_Of_Release,Movie_Duration_Minutes,Content_Rating,Rating,Number_of_Ratings
1,The Shawshank Redemption,1994,2h 22m,18+,9.3,2.9M
2,The Godfather,1972,2h 55m,PG-13,9.2,2M
3,The Dark Knight,2008,2h 32m,16+,9.0,2.9M
4,The Godfather Part II,1974,3h 22m,PG-13,9.0,1.4M
5,12 Angry Men,1957,1h 36m,G,9.0,867K
6,Schindler's List,1993,3h 15m,R,9.0,1.5M
7,The Lord of the Rings: The Return of the King,2003,3h 21m,16+,9.0,2M
8,Pulp Fiction,1994,2h 34m,R,8.9,2.2M
9,The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,13+,8.9,2M
10,"The Good, the Bad and the Ugly",1966,2h 41m,R,8.8,812K
11,Forrest Gump,1994,2h 22m,Not Rated,8.8,2.3M
12,The Lord of the Rings: The Two Towers,2002,2h 59m,16+,8.8,1.8M
13,Fight Club,1999,2h 19m,R,8.8,2.3M
14,Inception,2010,2h 28m,PG-13,8.8,2.6M
15,Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,G,8.7,1.4M
16,The Matrix,1999,2h 16m,R,8.7,2.1M
17,GoodFellas,1990,2h 25m,18+,8.7,1.3M
18,One Flew Over the Cuckoo's Nest,1975,2h 13m,R,8.7,1.1M
19,Se7en,1995,2h 7m,R,8.6,1.8M
20,Interstellar,2014,2h 49m,13+,8.7,2.1M
21,It's a Wonderful Life,1946,2h 10m,Not Rated,8.6,500K
22,Shichinin no samurai,1954,3h 27m,Not Rated,8.6,367K
23,The Silence of the Lambs,1991,1h 58m,R,8.6,1.6M
24,Saving Private Ryan,1998,2h 49m,PG-13,8.6,1.5M
25,Dune: Part Two,2024,2h 46m,PG-13,8.7,398K
26,Cidade de Deus,2002,2h 10m,R,8.6,802K
27,Life Is Beautiful,1997,1h 56m,Not Rated,8.6,744K
28,The Green Mile,1999,3h 9m,18+,8.6,1.4M
29,Terminator 2: Judgment Day,1991,2h 17m,R,8.6,1.2M
30,Star Wars: Episode IV - A New Hope,1977,2h 1m,G,8.6,1.5M
31,Back to the Future,1985,1h 56m,13+,8.5,1.3M
32,Spirited Away,2001,2h 5m,13 +,8.6,851K
33,The Pianist,2002,2h 30m,(Banned),8.5,914K
34,Parasite,2019,2h 12m,PG,8.5,963K
35,Psycho,1960,1h 49m,R,8.5,719K
36,Spider-Man: Across the Spider-Verse,2023,2h 20m,(Banned),8.6,372K
37,Gladiator,2000,2h 35m,16+,8.5,1.6M
38,The Lion King,1994,1h 28m,G,8.5,1.1M
39,The Departed,2006,2h 31m,18+,8.5,1.4M
40,Léon,1994,1h 50m,R,8.5,1.2M
41,American History X,1998,1h 59m,R,8.5,1.2M
42,Whiplash,2014,1h 46m,R,8.5,992K
43,The Prestige,2006,2h 10m,16+,8.5,1.4M
44,Hotaru no haka,1988,1h 29m,Not Rated,8.5,311K
45,Harakiri,1962,2h 13m,Not Rated,8.6,69K
46,The Usual Suspects,1995,1h 46m,R,8.5,1.1M
47,Casablanca,1942,1h 42m,PG,8.5,607K
48,The Intouchables,2011,1h 52m,R,8.5,931K
49,Cinema Paradiso,1988,2h 54m,Not Rated,8.5,283K
50,Modern Times,1936,1h 27m,G,8.5,260K
51,Rear Window,1954,1h 52m,PG,8.5,523K
52,Once Upon a Time in the West,1968,2h 46m,Not Rated,8.5,349K
53,Alien,1979,1h 57m,Not Rated,8.5,953K
54,City Lights,1931,1h 27m,G,8.5,196K
55,Django Unchained,2012,2h 45m,G,8.5,1.7M
56,Apocalypse Now,1979,2h 27m,R,8.4,711K
57,Memento,2000,1h 53m,R,8.4,1.3M
58,12th Fail,2023,2h 27m,None,8.9,113K
59,WALL·E,2008,1h 38m,G,8.4,1.2M
60,Indiana Jones and the Raiders of the Lost Ark,1981,1h 55m,12+,8.4,1M
61,The Lives of Others,2006,2h 17m,R,8.4,411K
62,Sunset Blvd.,1950,1h 50m,Not Rated,8.4,237K
63,Avengers: Infinity War,2018,2h 29m,13 +,8.4,1.2M
64,Paths of Glory,1957,1h 28m,G,8.4,213K
65,Spider-Man: Into the Spider-Verse,2018,1h 57m,R,8.4,673K
66,Witness for the Prosecution,1957,1h 56m,G,8.4,138K
67,The Shining,1980,2h 26m,18+,8.4,1.1M
68,The Great Dictator,1940,2h 5m,G,8.4,238K
69,Alien 2,1986,2h 17m,Not Rated,8.4,764K
70,Inglourious Basterds,2009,2h 33m,18+,8.4,1.6M
71,The Dark Knight Rises,2012,2h 44m,13+,8.4,1.8M
72,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,R,8.4,519K
73,American Beauty,1999,2h 2m,Not Rated,8.3,1.2M
74,كوكو,2017,1h 45m,PG-15,8.4,592K
75,Oldeuboi,2003,2h,R,8.3,637K
76,Amadeus,1984,2h 40m,R,8.4,429K
77,Toy Story,1995,1h 21m,G,8.3,1.1M
78,Das Boot,1981,2h 29m,None,8.4,265K
79,Avengers: Endgame,2019,3h 1m,PG-15,8.4,1.3M
80,Braveheart,1995,2h 58m,Not Rated,8.3,1.1M
81,Good Will Hunting,1997,2h 6m,Not Rated,8.3,1.1M
82,Princess Mononoke,1997,2h 14m,G,8.3,435K
83,Joker,2019,2h 2m,16+,8.4,1.5M
84,Your Name.,2016,1h 46m,None,8.4,322K
85,High and Low,1963,2h 23m,Not Rated,8.4,53K
86,Once Upon a Time in America,1984,3h 49m,R,8.3,378K
87,3 Idiots,2009,2h 50m,PG-13,8.4,435K
88,Singin' in the Rain,1952,1h 43m,G,8.3,261K
89,Capernaum,2018,2h 6m,18+,8.4,106K
90,Come and See,1985,2h 22m,Not Rated,8.4,98K
91,Requiem for a Dream,2000,1h 42m,Not Rated,8.3,900K
92,Toy Story 3,2010,1h 43m,G,8.3,894K
93,Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,PG,8.3,1.1M
94,Eterno resplandor de una mente sin recuerdos,2004,1h 48m,R,8.3,1.1M
95,The Hunt,2012,1h 55m,R,8.3,365K
96,2001: A Space Odyssey,1968,2h 29m,G,8.3,721K
97,Oppenheimer,2023,3h,16+,8.3,737K
98,Reservoir Dogs,1992,1h 39m,R,8.3,1.1M
99,Ikiru,1952,2h 23m,Not Rated,8.3,88K
100,Lawrence of Arabia,1962,3h 38m,13+,8.3,315K
101,The Apartment,1960,2h 5m,Approved,8.3,197K
102,North by Northwest,1959,2h 16m,Approved,8.3,347K
103,Incendies,2010,2h 11m,16+,8.3,201K
104,Citizen Kane,1941,1h 59m,Not Rated,8.3,466K
105,M,1931,1h 57m,Passed,8.3,169K
106,Vertigo,1958,2h 8m,Not Rated,8.3,428K
107,Double Indemnity,1944,1h 47m,Approved,8.3,168K
108,Scarface,1983,2h 50m,18+,8.3,918K
109,Full Metal Jacket,1987,1h 56m,18+,8.3,791K
110,Amélie,2001,2h 2m,R,8.3,795K
111,Heat,1995,2h 50m,Not Rated,8.3,721K
112,A Clockwork Orange,1971,2h 16m,(Banned),8.3,882K
113,Up,2009,1h 36m,G,8.3,1.1M
114,To Kill a Mockingbird,1962,2h 9m,Approved,8.3,333K
115,A Separation,2011,2h 3m,16+,8.3,259K
116,The Sting,1973,2h 9m,PG,8.3,280K
117,Indiana Jones and the Last Crusade,1989,2h 7m,Not Rated,8.2,812K
118,Die Hard,1988,2h 12m,Not Rated,8.2,947K
119,Metropolis,1927,2h 33m,Not Rated,8.3,186K
120,Taare Zameen Par,2007,2h 42m,13+,8.3,207K
121,Snatch,2000,1h 44m,R,8.2,912K
122,Hamilton,2020,2h 40m,PG-13,8.3,114K
123,L.A. Confidential,1997,2h 18m,18 +,8.2,619K
124,1917,2019,1h 59m,R,8.2,677K
125,Ladri di biciclette,1948,1h 29m,Not Rated,8.3,175K
126,Taxi Driver,1976,1h 54m,R,8.2,922K
127,Downfall,2004,2h 36m,Not Rated,8.2,376K
128,Dangal,2016,2h 41m,Not Rated,8.3,211K
129,For a Few Dollars More,1965,2h 12m,R,8.2,275K
130,Batman Begins,2005,2h 20m,13+,8.2,1.6M
131,The Wolf of Wall Street,2013,3h,18+,8.2,1.6M
132,Some Like It Hot,1959,2h 1m,Not Rated,8.2,284K
133,Green Book,2018,2h 10m,PG-15,8.2,574K
134,The Kid,1921,1h 8m,Passed,8.2,135K
135,ذا فاذر,2020,1h 37m,18TC,8.2,194K
136,Judgment at Nuremberg,1961,2h 59m,Approved,8.3,86K
137,The Truman Show,1998,1h 43m,Not Rated,8.2,1.2M
138,All About Eve,1950,2h 18m,Approved,8.2,139K
139,Top Gun: Maverick,2022,2h 10m,G,8.2,700K
140,Shutter Island,2010,2h 18m,15,8.2,1.5M
141,There Will Be Blood,2007,2h 38m,R,8.2,642K
142,Casino,1995,2h 58m,R,8.2,565K
143,Jurassic Park,1993,2h 7m,G,8.2,1.1M
144,Ran,1985,2h 40m,R,8.2,136K
145,The Sixth Sense,1999,1h 47m,Not Rated,8.2,1.1M
146,Pan's Labyrinth,2006,1h 58m,R,8.2,704K
147,Unforgiven,1992,2h 10m,R,8.2,437K
148,No Country for Old Men,2007,2h 2m,PG-13,8.2,1.1M
149,A Beautiful Mind,2001,2h 15m,G,8.2,988K
150,The Thing,1982,1h 49m,18+,8.2,468K
151,Kill Bill: Vol. 1,2003,1h 51m,R,8.2,1.2M
152,The Treasure of the Sierra Madre,1948,2h 6m,Approved,8.2,133K
153,Yôjinbô,1961,1h 50m,Not Rated,8.2,132K
154,Monty Python and the Holy Grail,1975,1h 31m,PG,8.2,571K
155,The Great Escape,1963,2h 52m,Approved,8.2,259K
156,Finding Nemo,2003,1h 40m,G,8.2,1.1M
157,Prisoners,2013,2h 33m,R,8.2,811K
158,Rashomon,1950,1h 28m,Not Rated,8.2,181K
159,Howl's Moving Castle,2004,1h 59m,7+,8.2,451K
160,The Elephant Man,1980,2h 4m,Not Rated,8.2,259K
161,Chinatown,1974,2h 10m,R,8.1,350K
162,Dial M for Murder,1954,1h 45m,PG,8.2,189K
163,Gone with the Wind,1939,3h 58m,PG,8.2,335K
164,V for Vendetta,2005,2h 12m,R,8.2,1.2M
165,"Lock, Stock and Two Smoking Barrels",1998,1h 47m,Not Rated,8.1,617K
166,El secreto de sus ojos,2009,2h 9m,Not Rated,8.2,223K
167,Inside Out,2015,1h 35m,Not Rated,8.1,787K
168,Raging Bull,1980,2h 9m,R,8.1,381K
169,"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,Not Rated,8.1,556K
170,Trainspotting,1996,1h 33m,R,8.1,727K
171,The Bridge on the River Kwai,1957,2h 41m,PG,8.1,234K
172,Klaus,2019,1h 36m,7+,8.2,190K
173,Fargo,1996,1h 38m,R,8.1,728K
174,Spider-Man: No Way Home,2021,2h 28m,G,8.2,882K
175,Catch Me If You Can,2002,2h 21m,16+,8.1,1.1M
176,Warrior,2011,2h 20m,PG-13,8.1,498K
177,Gran Torino,2008,1h 56m,R,8.1,816K
178,My Neighbor Totoro,1988,1h 26m,G,8.1,381K
179,Million Dollar Baby,2004,2h 12m,Not Rated,8.1,723K
180,Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,R,8.1,950K
181,Children of Heaven,1997,1h 29m,PG,8.2,81K
182,12 Years a Slave,2013,2h 14m,R,8.1,742K
183,Blade Runner,1982,1h 57m,R,8.1,824K
184,Before Sunrise,1995,1h 41m,R,8.1,340K
185,Ben-Hur,1959,3h 32m,G,8.1,254K
186,Barry Lyndon,1975,3h 5m,Not Rated,8.1,183K
187,The Grand Budapest Hotel,2014,1h 39m,G,8.1,888K
188,Gone Girl,2014,2h 29m,Not Rated,8.1,1.1M
189,Hacksaw Ridge,2016,2h 19m,R,8.1,596K
190,The Gold Rush,1925,1h 35m,Approved,8.1,119K
191,Salinui chueok,2003,2h 11m,Not Rated,8.1,217K
192,In the Name of the Father,1993,2h 13m,R,8.1,187K
193,Dead Poets Society,1989,2h 8m,Not Rated,8.1,547K
194,Mad Max: Fury Road,2015,2h,16+,8.1,1.1M
195,Wild Tales,2014,2h 2m,R,8.1,217K
196,The Deer Hunter,1978,3h 3m,R,8.1,363K
197,The General,1926,1h 18m,Passed,8.1,98K
198,On the Waterfront,1954,1h 48m,Approved,8.1,165K
199,"Monsters, Inc.",2001,1h 32m,G,8.1,980K
200,Sherlock Jr.,1924,45m,Passed,8.2,57K
201,Jaws,1975,2h 4m,7+,8.1,660K
202,How to Train Your Dragon,2010,1h 38m,G,8.1,802K
203,The Third Man,1949,1h 44m,Approved,8.1,182K
204,Le salaire de la peur,1953,2h 11m,Not Rated,8.2,67K
205,Smultronstället,1957,1h 31m,Not Rated,8.1,115K
206,Mary and Max.,2009,1h 32m,Not Rated,8.1,187K
207,Mr. Smith Goes to Washington,1939,2h 9m,Approved,8.1,122K
208,Ratatouille,2007,1h 51m,G,8.1,827K
209,Ford v Ferrari,2019,2h 32m,18 +,8.1,477K
210,Tôkyô monogatari,1953,2h 16m,Not Rated,8.1,69K
211,The Big Lebowski,1998,1h 57m,13+,8.1,861K
212,Room,2015,1h 58m,R,8.1,451K
213,Det sjunde inseglet,1957,1h 36m,Not Rated,8.1,199K
214,Rocky,1976,2h,PG,8.1,629K
215,Logan,2017,2h 17m,15+,8.1,833K
216,Spotlight,2015,2h 9m,Not Rated,8.1,503K
217,Hotel Rwanda,2004,2h 1m,PG-13,8.1,373K
218,The Terminator,1984,1h 47m,R,8.1,926K
219,Platoon,1986,2h,R,8.1,440K
220,La passion de Jeanne d'Arc,1928,1h 50m,Passed,8.1,61K
221,La haine,1995,1h 38m,Not Rated,8.1,197K
222,Antes del atardecer,2004,1h 20m,Not Rated,8.1,289K
223,The Best Years of Our Lives,1946,2h 50m,Approved,8.1,71K
224,Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13,8.1,1.2M
225,The Exorcist,1973,2h 2m,R,8.1,456K
226,Rush,2013,2h 3m,R,8.1,515K
227,Network,1976,2h 1m,R,8.1,171K
228,Jai Bhim,2021,2h 44m,16+,8.7,217K
229,Stand by Me,1986,1h 29m,R,8.1,442K
230,The Wizard of Oz,1939,1h 42m,G,8.1,429K
231,The Incredibles,2004,1h 55m,PG,8.0,810K
232,Hachi: A Dog's Tale,2009,1h 33m,Not Rated,8.1,312K
233,Ah-ga-ssi,2016,2h 25m,Not Rated,8.1,173K
234,Into the Wild,2007,2h 28m,R,8.1,659K
235,Babam ve Oglum,2005,1h 52m,Not Rated,8.2,93K
236,The Sound of Music,1965,2h 52m,G,8.1,262K
237,La battaglia di Algeri,1966,2h 1m,Not Rated,8.1,66K
238,To Be or Not to Be,1942,1h 39m,Approved,8.1,43K
239,The Grapes of Wrath,1940,2h 9m,Approved,8.1,100K
240,Groundhog Day,1993,1h 41m,R,8.0,686K
241,Amores Perros,2000,2h 34m,R,8.1,253K
242,Rebecca,1940,2h 10m,Approved,8.1,147K
243,The Iron Giant,1999,1h 26m,PG,8.1,228K
244,Cool Hand Luke,1967,2h 7m,Approved,8.1,189K
245,The Help,2011,2h 26m,PG-13,8.1,494K
246,It Happened One Night,1934,1h 45m,Approved,8.1,112K
247,Aladdin,1992,1h 30m,G,8.0,468K
248,Drishyam,2015,2h 43m,13+,8.2,95K
249,Dances with Wolves,1990,3h 1m,Not Rated,8.0,291K
250,Gangs of Wasseypur,2012,5h 21m,Not Rated,8.2,104K
